scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,31,2dnr,0.0001723754,37.635247,0.988016,,61.166634
scene_1,31,dataset_3dnr,0.0000746826,41.267806,0.995521,,54.264721
scene_1,31,ghost3dnr,0.1022921428,9.901577,0.404306,,666.055847
scene_1,32,noisy,0.0001734097,37.609266,0.988188,,61.235683
scene_1,32,2dnr,0.0001733767,37.610092,0.988193,,61.235374
scene_1,32,dataset_3dnr,0.0000749286,41.253524,0.995613,,55.777092
scene_1,32,ghost3dnr,0.0649795979,11.872230,0.452693,,554.262268
scene_1,33,noisy,0.0001730922,37.617226,0.988265,,60.243443
scene_1,33,2dnr,0.0001730593,37.618050,0.988270,,60.243000
scene_1,33,dataset_3dnr,0.0000789909,41.024231,0.995784,,58.070473
scene_1,33,ghost3dnr,0.0458269380,13.388792,0.619172,,423.808990
scene_1,34,noisy,0.0001739459,37.595859,0.988397,,59.104313
scene_1,34,2dnr,0.0001739121,37.596701,0.988402,,59.103958
scene_1,34,dataset_3dnr,0.0000814937,40.888760,0.995470,,57.474056
scene_1,34,ghost3dnr,0.0188768841,17.240697,0.697672,,327.103149
scene_1,35,noisy,0.0001743206,37.586514,0.988056,,60.351231
scene_1,35,2dnr,0.0001742879,37.587328,0.988062,,60.351322
scene_1,35,dataset_3dnr,0.0000748782,41.256443,0.995766,,55.272846
scene_1,35,ghost3dnr,0.0169898737,17.698098,0.817692,,269.464417
scene_1,36,noisy,0.0001749435,37.571021,0.987935,,61.539707
scene_1,36,2dnr,0.0001749121,37.571803,0.987938,,61.539856
scene_1,36,dataset_3dnr,0.0000738300,41.317669,0.995851,,55.686649
scene_1,36,ghost3dnr,0.0048257024,23.164395,0.893164,,178.649628
scene_1,37,noisy,0.0001742594,37.588038,0.988212,,61.567493
scene_1,37,2dnr,0.0001742269,37.588849,0.988217,,61.567215
scene_1,37,dataset_3dnr,0.0000736168,41.330228,0.995917,,56.150551
scene_1,37,ghost3dnr,0.0065133064,21.861985,0.901427,,174.014404
scene_1,38,noisy,0.0001698861,37.698422,0.988831,,60.165127
scene_1,38,2dnr,0.0001698531,37.699266,0.988836,,60.164822
scene_1,38,dataset_3dnr,0.0000776868,41.096530,0.995738,,58.374924
scene_1,38,ghost3dnr,0.0003505138,34.552949,0.987822,,110.461510
scene_1,39,noisy,0.0001745570,37.580628,0.988404,,59.779892
scene_1,39,2dnr,0.0001745243,37.581442,0.988408,,59.780094
scene_1,39,dataset_3dnr,0.0000771613,41.126003,0.995890,,55.069595
scene_1,39,ghost3dnr,0.0003271331,34.852755,0.988239,,103.645767
scene_1,40,noisy,0.0001755849,37.555129,0.988527,,59.151115
scene_1,40,2dnr,0.0001755543,37.555886,0.988531,,59.150730
scene_1,40,dataset_3dnr,0.0000777351,41.093826,0.995694,,54.647099
scene_1,40,ghost3dnr,0.0004524298,33.444488,0.986229,,124.997551
scene_1,41,noisy,0.0001756059,37.554608,0.988538,,58.940681
scene_1,41,2dnr,0.0001755739,37.555400,0.988544,,58.940636
scene_1,41,dataset_3dnr,0.0000785861,41.046542,0.995585,,54.593174
scene_1,41,ghost3dnr,0.0004539696,33.429732,0.986577,,114.662148
scene_1,42,noisy,0.0001754009,37.559681,0.988576,,61.127655
scene_1,42,2dnr,0.0001753683,37.560489,0.988581,,61.127705
scene_1,42,dataset_3dnr,0.0000762491,41.177655,0.995807,,55.551323
scene_1,42,ghost3dnr,0.0004014241,33.963966,0.986246,,113.016014
scene_1,43,noisy,0.0001763535,37.536160,0.988508,,59.890312
scene_1,43,2dnr,0.0001763226,37.536919,0.988513,,59.889805
scene_1,43,dataset_3dnr,0.0000775036,41.106784,0.995955,,56.101398
scene_1,43,ghost3dnr,0.0004319436,33.645729,0.988537,,111.514244
scene_1,44,noisy,0.0001768199,37.524688,0.988501,,59.423119
scene_1,44,2dnr,0.0001767880,37.525473,0.988506,,59.422539
scene_1,44,dataset_3dnr,0.0000741842,41.296884,0.996000,,53.214066
scene_1,44,ghost3dnr,0.0004641560,33.333361,0.988792,,109.174049
scene_1,45,noisy,0.0001769715,37.520967,0.988614,,60.926491
scene_1,45,2dnr,0.0001769398,37.521745,0.988618,,60.926403
scene_1,45,dataset_3dnr,0.0000747400,41.264467,0.995952,,55.413754
scene_1,45,ghost3dnr,0.0004431895,33.534106,0.988297,,110.669579
scene_1,46,noisy,0.0001763572,37.536068,0.988511,,60.948479
scene_1,46,2dnr,0.0001763267,37.536819,0.988516,,60.948299
scene_1,46,dataset_3dnr,0.0000758040,41.203078,0.995844,,55.931328
scene_1,46,ghost3dnr,0.0004223379,33.743399,0.987386,,114.223991
scene_1,47,noisy,0.0001767529,37.526335,0.988341,,60.363586
scene_1,47,2dnr,0.0001767206,37.527129,0.988347,,60.363598
scene_1,47,dataset_3dnr,0.0000782424,41.065581,0.995869,,56.906403
scene_1,47,ghost3dnr,0.0005262520,32.788063,0.983909,,116.143318
scene_1,48,noisy,0.0001775793,37.506076,0.988631,,60.441158
scene_1,48,2dnr,0.0001775473,37.506859,0.988633,,60.441120
scene_1,48,dataset_3dnr,0.0000774377,41.110473,0.995798,,55.373352
scene_1,48,ghost3dnr,0.0004618642,33.354857,0.985955,,107.894493
scene_1,49,noisy,0.0001718258,37.649117,0.989341,,58.626930
scene_1,49,2dnr,0.0001717917,37.649978,0.989346,,58.626335
scene_1,49,dataset_3dnr,0.0000747768,41.262329,0.995953,,53.733292
scene_1,49,ghost3dnr,0.0005070193,32.949755,0.984380,,118.618996
scene_1,50,noisy,0.0001781879,37.491219,0.988540,,61.114506
scene_1,50,2dnr,0.0001781562,37.491991,0.988545,,61.114246
scene_1,50,dataset_3dnr,0.0000754983,41.220625,0.995969,,55.017902
scene_1,50,ghost3dnr,0.0005535498,32.568433,0.983823,,118.646301
scene_1,51,noisy,0.0001793074,37.464018,0.988715,,61.372868
scene_1,51,2dnr,0.0001792761,37.464777,0.988719,,61.372238
scene_1,51,dataset_3dnr,0.0000766166,41.156772,0.996019,,56.153263
scene_1,51,ghost3dnr,0.0005039986,32.975707,0.984503,,119.046829
scene_1,52,noisy,0.0001795546,37.458034,0.988811,,61.211365
scene_1,52,2dnr,0.0001795232,37.458795,0.988817,,61.211182
scene_1,52,dataset_3dnr,0.0000791048,41.017971,0.995717,,57.002838
scene_1,52,ghost3dnr,0.0004719590,33.260957,0.985799,,110.315117
scene_1,53,noisy,0.0001798334,37.451296,0.988705,,60.793499
scene_1,53,2dnr,0.0001798035,37.452018,0.988711,,60.793327
scene_1,53,dataset_3dnr,0.0000806100,40.936111,0.995782,,56.726189
scene_1,53,ghost3dnr,0.0005051167,32.966083,0.984555,,116.028969
scene_1,54,noisy,0.0001807934,37.428173,0.988621,,59.995071
scene_1,54,2dnr,0.0001807621,37.428927,0.988626,,59.994129
scene_1,54,dataset_3dnr,0.0000797525,40.982556,0.995842,,54.976604
scene_1,54,ghost3dnr,0.0006529359,31.851294,0.979689,,129.725601
scene_1,55,noisy,0.0001802870,37.440355,0.988828,,60.324783
scene_1,55,2dnr,0.0001802557,37.441110,0.988833,,60.325119
scene_1,55,dataset_3dnr,0.0000776434,41.098956,0.995900,,54.456245
scene_1,55,ghost3dnr,0.0006359287,31.965916,0.981188,,121.218407
scene_1,56,noisy,0.0001808290,37.427320,0.988815,,61.970356
