scene,shard,frame,noisy_psnr,wt_psnr,wt_ssim
1,3,1,25.10911517595511,30.796838977682924,0.8190312650126815
1,3,2,25.322869113361858,31.138758997353623,0.822028853900033
1,3,3,24.795281750548796,30.347370768943996,0.8036229054871665
1,3,4,24.964969384966402,30.8353530406456,0.8171567514650276
1,3,5,24.953143597888467,30.722839845753963,0.8137801727602851
1,3,6,25.337674828479617,31.4816902407895,0.834110693850791
1,3,7,25.452470564295275,31.58088136138999,0.8347733301481524
1,3,8,25.331545839345452,31.538904097140712,0.8347230647125932
1,3,9,25.016557023012993,30.873478951301596,0.8183010832596849
1,3,10,25.130298154415172,31.231288303912272,0.8279683407639501
1,3,11,25.147153630322784,31.193630030337495,0.8259658205293594
1,3,12,25.313794437978025,31.61306936044372,0.836889022443716
1,3,13,25.230821772736768,31.424038254691254,0.8343930766673494
1,3,14,25.491489982289693,31.665824860450122,0.8351498720482888
1,3,15,24.96745831409975,30.904537662265852,0.8178727014802329
1,3,16,25.143566202080258,31.325953119895654,0.8268245411391159
1,3,17,24.96910417039624,30.839566025938492,0.8212042491870853
1,3,18,25.068105985826254,31.07457304318102,0.8240908035020187
1,3,19,25.149393896964245,30.893078476601627,0.8254479266033314
1,3,20,24.976350007922004,30.36564262451304,0.8206048203127444
1,3,21,24.518302295089573,29.683520211906842,0.8076383296347232
1,3,22,24.48616764871089,29.500720230418843,0.8020892936672562
1,3,23,24.66939634854855,29.904734094103226,0.8084627468606724
1,3,24,24.419185279057324,29.50580009962414,0.7874990383575209
1,3,25,24.71882253784861,30.141347378726103,0.805144799767334
1,3,26,24.480168141582833,29.757659490302228,0.7966728649428789
1,3,27,24.45403172802201,29.75866595184729,0.7957433009128031
1,3,28,24.745510676437334,29.887584690380137,0.8082434436819212
1,3,29,24.170451642630017,28.88645828197333,0.7829373042465002
1,4,0,24.32047737534881,29.040118332637096,0.8007815680445246
1,4,1,24.034594772096142,28.507808065815357,0.7818094132433187
1,4,2,24.06588443334584,28.554443071622877,0.7896238784188055
1,4,3,24.164727499850272,28.489966216512194,0.7956655142677467
1,4,4,23.808884875345967,27.861947110196517,0.7786972720060026
1,4,5,23.69692011578487,27.54635581979491,0.7683770842619723
1,4,6,23.715430752633075,27.58722806647169,0.773419941951747
1,4,7,23.59515947067896,27.355778302383314,0.7715327534038187
1,4,8,23.648391656354622,27.416794276432704,0.7708521391483018
1,4,9,23.99507821854202,27.719999365485457,0.7892877377099008
1,4,10,23.9890443988492,27.87183105799429,0.7905179519561394
1,4,11,23.576412908027944,27.439176018007757,0.76280403011152
1,4,12,23.9135611325473,27.846145357865474,0.7912065697255843
1,4,13,23.86483883206551,27.78583418765859,0.7848295329875559
1,4,14,23.575448242931326,27.339268974052157,0.7597585018650731
1,4,15,24.17358878852172,28.38397509990576,0.7949707702454053
1,4,16,24.24410521738494,28.587567599167663,0.7904168164987676
1,4,17,24.466189583638908,28.911425221950502,0.7957734238119567
1,4,18,24.544758337296663,29.30661753245925,0.7986164679607617
1,4,19,24.33568716197268,29.25150399854267,0.7816970700649488
1,4,20,24.54456692150182,29.89197145698607,0.79203897335179
1,4,21,24.54239476525867,30.05239139561069,0.7928337029026488
1,4,22,24.81702931298726,30.63383325600078,0.8043547052826532
1,4,23,24.898987134540658,30.73372253825908,0.8062203837206418
1,4,24,25.080874943049338,31.003975552360995,0.807999378053943
1,4,25,24.656180327330667,30.542848995568427,0.7956339105157799
1,4,26,25.19377203748138,31.136577664004562,0.8074114362637448
1,4,27,25.223838954856035,31.222282391582837,0.8083892229836542
1,4,28,25.183100227114398,31.26786360556761,0.813863129761015
1,4,29,25.298458947693724,31.49259538354411,0.8218473992917271
1,5,0,25.021549358825368,31.15932515214152,0.8150938805278173
1,5,1,25.26027163827262,31.60092781439353,0.8295055957859224
1,5,2,25.43708367478233,31.82828171494243,0.8369388507422754
1,5,3,25.25898453017167,31.490058372557364,0.830344863565185
1,5,4,25.372652600435096,31.713148453987387,0.840198698812878
1,5,5,25.024954004551798,30.93684863684083,0.8248628671217517
1,5,6,25.476137208368023,31.937872754033986,0.8441639178069776
1,5,7,25.26702437771215,31.536157911154987,0.8363025406804396
1,5,8,25.344199777070408,31.76614426339264,0.8418891216505919
1,5,9,25.554185398219115,31.977188701270983,0.8475790410434869
1,5,10,25.380658773138414,31.780552986810786,0.843116017229459
1,5,11,25.58837804662958,31.909414219197373,0.84064409866907
1,5,12,25.39310821633959,31.68021965427726,0.8405053691764789
1,5,13,25.509526763113506,31.876903912394255,0.8452295820856006
1,5,14,25.45034262703532,31.835856816459902,0.8445883613603554
1,5,15,25.360583070064784,31.740119961619428,0.8452100533999923
1,5,16,25.449152028191705,31.850156734273753,0.8464863582714119
1,5,17,25.488349735610477,31.857457397017797,0.8472674394117271
1,5,18,25.572565027318493,31.899821092454047,0.8439381588402115
1,5,19,25.588894403662138,31.854989676147547,0.8384501234881152
1,5,20,25.35013497425423,31.77645699420168,0.843060603982571
