scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,32,2dnr,0.0001130799,39.466148,0.987144,767.296875,57.495125
scene_2,32,dataset_3dnr,0.0000442699,43.538912,0.994539,126.660103,52.187782
scene_2,32,ghost3dnr,0.0005708646,32.434669,0.970732,90.812424,122.240089
scene_2,33,noisy,0.0001132158,39.460930,0.986813,765.461731,57.316925
scene_2,33,2dnr,0.0001131717,39.462623,0.986821,763.694519,57.316387
scene_2,33,dataset_3dnr,0.0000443930,43.526856,0.994639,124.667915,52.813362
scene_2,33,ghost3dnr,0.0006308443,32.000778,0.969422,88.271973,125.210419
scene_2,34,noisy,0.0001132279,39.460465,0.986990,768.326172,56.924671
scene_2,34,2dnr,0.0001131835,39.462167,0.986999,766.449585,56.924011
scene_2,34,dataset_3dnr,0.0000441430,43.551377,0.994545,124.085625,50.975258
scene_2,34,ghost3dnr,0.0006942032,31.585134,0.970395,96.602020,128.819092
scene_2,35,noisy,0.0001142471,39.421548,0.987122,769.610352,57.335815
scene_2,35,2dnr,0.0001142029,39.423228,0.987131,767.874817,57.335224
scene_2,35,dataset_3dnr,0.0000461258,43.360565,0.994310,124.745338,54.288525
scene_2,35,ghost3dnr,0.0006305580,32.002750,0.970093,91.419182,129.496521
scene_2,36,noisy,0.0001151956,39.385642,0.986927,774.190552,57.181164
scene_2,36,2dnr,0.0001151514,39.387306,0.986936,772.389771,57.180138
scene_2,36,dataset_3dnr,0.0000434368,43.621421,0.994638,122.602554,50.934788
scene_2,36,ghost3dnr,0.0007070156,31.505710,0.971222,92.558243,137.497650
scene_2,37,noisy,0.0001132020,39.461457,0.987319,760.274109,57.283375
scene_2,37,2dnr,0.0001131577,39.463160,0.987329,758.444519,57.282589
scene_2,37,dataset_3dnr,0.0000447845,43.488724,0.994680,123.582489,53.263493
scene_2,37,ghost3dnr,0.0007315666,31.357461,0.970461,92.589096,149.720428
scene_2,38,noisy,0.0001084561,39.647460,0.987928,724.307617,55.716923
scene_2,38,2dnr,0.0001084119,39.649230,0.987937,722.460999,55.716522
scene_2,38,dataset_3dnr,0.0000430196,43.663335,0.994805,124.707367,50.892445
scene_2,38,ghost3dnr,0.0007874874,31.037564,0.973177,88.068916,158.766693
scene_2,39,noisy,0.0001131827,39.462198,0.986954,765.403564,56.858521
scene_2,39,2dnr,0.0001131386,39.463890,0.986962,763.591187,56.858231
scene_2,39,dataset_3dnr,0.0000435043,43.614676,0.994628,123.418419,52.424873
scene_2,39,ghost3dnr,0.0008455552,30.728580,0.973452,88.441887,179.477997
scene_2,40,noisy,0.0001130685,39.466584,0.986963,763.561768,57.012112
scene_2,40,2dnr,0.0001130246,39.468268,0.986969,761.750183,57.011341
scene_2,40,dataset_3dnr,0.0000438099,43.584273,0.994571,122.225113,52.551949
scene_2,40,ghost3dnr,0.0008588703,30.660724,0.973139,84.783173,155.492157
scene_2,41,noisy,0.0001133088,39.457363,0.987031,769.406616,57.073864
scene_2,41,2dnr,0.0001132644,39.459065,0.987039,767.627808,57.072792
scene_2,41,dataset_3dnr,0.0000429199,43.673410,0.994662,123.865524,51.294449
scene_2,41,ghost3dnr,0.0008799520,30.555410,0.970949,86.049431,160.771790
scene_2,42,noisy,0.0001135645,39.447572,0.987076,771.853455,56.864391
scene_2,42,2dnr,0.0001135205,39.449258,0.987086,770.071838,56.863384
scene_2,42,dataset_3dnr,0.0000433405,43.631062,0.994550,123.150650,52.220230
scene_2,42,ghost3dnr,0.0010486180,29.793827,0.968591,86.484657,166.648972
scene_2,43,noisy,0.0001134293,39.452748,0.987120,768.577881,57.119221
scene_2,43,2dnr,0.0001133850,39.454443,0.987128,766.808899,57.117470
scene_2,43,dataset_3dnr,0.0000436541,43.599749,0.994537,123.244217,51.033993
scene_2,43,ghost3dnr,0.0010682647,29.713211,0.965350,85.600777,163.953979
scene_2,44,noisy,0.0001133566,39.455531,0.987150,766.359985,57.293449
scene_2,44,2dnr,0.0001133115,39.457258,0.987159,764.552307,57.291946
scene_2,44,dataset_3dnr,0.0000441579,43.549918,0.994726,122.846817,53.337696
scene_2,44,ghost3dnr,0.0010492119,29.791368,0.964315,85.848038,153.268311
scene_2,45,noisy,0.0001132222,39.460685,0.986897,769.162842,57.408470
scene_2,45,2dnr,0.0001131777,39.462390,0.986905,767.387939,57.408382
scene_2,45,dataset_3dnr,0.0000429820,43.667136,0.994743,121.948898,50.712814
scene_2,45,ghost3dnr,0.0009477150,30.233222,0.963644,83.551765,151.729630
scene_2,46,noisy,0.0001135782,39.447051,0.986906,761.220520,57.803299
scene_2,46,2dnr,0.0001135341,39.448736,0.986911,759.383667,57.801208
scene_2,46,dataset_3dnr,0.0000437619,43.589042,0.994605,125.490952,52.920815
scene_2,46,ghost3dnr,0.0009852226,30.064656,0.963491,87.744942,158.740219
scene_2,47,noisy,0.0001137301,39.441244,0.986805,765.784485,58.219318
scene_2,47,2dnr,0.0001136858,39.442937,0.986813,764.047668,58.218319
scene_2,47,dataset_3dnr,0.0000422583,43.740882,0.994558,121.748123,51.557297
scene_2,47,ghost3dnr,0.0009143251,30.388993,0.964937,82.898994,146.602646
scene_2,48,noisy,0.0001129704,39.470353,0.987254,767.194153,57.992523
scene_2,48,2dnr,0.0001129256,39.472075,0.987261,765.372192,57.992374
scene_2,48,dataset_3dnr,0.0000436616,43.599006,0.994614,125.757751,53.204334
scene_2,48,ghost3dnr,0.0009433795,30.253136,0.968718,85.959663,153.821671
scene_2,49,noisy,0.0001067271,39.717255,0.988056,709.656311,56.679058
scene_2,49,2dnr,0.0001066812,39.719120,0.988065,707.740356,56.678108
scene_2,49,dataset_3dnr,0.0000430221,43.663088,0.994740,122.394829,52.769825
scene_2,49,ghost3dnr,0.0010621492,29.738145,0.969691,82.515869,169.825638
scene_2,50,noisy,0.0001133270,39.456667,0.986998,767.232239,58.799992
scene_2,50,2dnr,0.0001132837,39.458326,0.987005,765.459534,58.799583
scene_2,50,dataset_3dnr,0.0000446161,43.505081,0.994620,123.014290,54.148125
scene_2,50,ghost3dnr,0.0011685173,29.323649,0.970411,88.082413,180.097565
scene_2,51,noisy,0.0001129929,39.469488,0.987214,761.237000,57.903332
scene_2,51,2dnr,0.0001129489,39.471179,0.987221,759.435669,57.903103
scene_2,51,dataset_3dnr,0.0000433074,43.634375,0.994732,122.246033,51.349003
scene_2,51,ghost3dnr,0.0012648117,28.979741,0.969957,82.361107,155.486603
scene_2,52,noisy,0.0001133368,39.456291,0.986966,762.605469,59.255444
scene_2,52,2dnr,0.0001132938,39.457940,0.986973,760.789551,59.255054
scene_2,52,dataset_3dnr,0.0000427012,43.695595,0.994659,122.356056,52.791676
scene_2,52,ghost3dnr,0.0013167037,28.805119,0.969790,89.459709,160.879929
scene_2,53,noisy,0.0001144816,39.412644,0.987083,775.238831,59.944576
scene_2,53,2dnr,0.0001144382,39.414288,0.987092,773.438904,59.943516
scene_2,53,dataset_3dnr,0.0000444780,43.518551,0.994594,125.967552,55.814449
scene_2,53,ghost3dnr,0.0013642182,28.651162,0.968932,88.054024,157.869659
