scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_4,28,dataset_3dnr,0.0000527153,42.780636,0.994782,124.327103,40.558338
scene_4,28,ghost3dnr,0.0020656714,26.849388,0.928473,87.604706,208.503754
scene_4,29,noisy,0.0001180305,39.280056,0.987488,774.393372,46.496254
scene_4,29,2dnr,0.0001179848,39.281738,0.987496,772.635132,46.492924
scene_4,29,dataset_3dnr,0.0000639491,41.941657,0.994703,123.362045,43.648178
scene_4,29,ghost3dnr,0.0027355801,25.629506,0.906357,88.852608,226.537308
scene_4,30,noisy,0.0001222193,39.128603,0.987672,777.950012,48.561188
scene_4,30,2dnr,0.0001221752,39.130170,0.987679,776.165833,48.557743
scene_4,30,dataset_3dnr,0.0000700297,41.547180,0.994611,123.779137,46.122101
scene_4,30,ghost3dnr,0.0034563099,24.613873,0.889923,93.938538,234.785599
scene_4,31,noisy,0.0001245016,39.048249,0.987616,777.402588,49.808727
scene_4,31,2dnr,0.0001244592,39.049731,0.987624,775.623596,49.805130
scene_4,31,dataset_3dnr,0.0000772873,41.118921,0.994414,124.189453,48.008659
scene_4,31,ghost3dnr,0.0050584269,22.959845,0.875227,93.523430,283.999939
scene_4,32,noisy,0.0001258544,39.001316,0.987832,776.385376,50.081875
scene_4,32,2dnr,0.0001258108,39.002820,0.987838,774.587341,50.078224
scene_4,32,dataset_3dnr,0.0000739033,41.313360,0.994362,126.778664,47.269230
scene_4,32,ghost3dnr,0.0091271633,20.396642,0.861925,90.969185,382.762787
scene_4,33,noisy,0.0001263236,38.985154,0.987657,779.615234,49.593483
scene_4,33,2dnr,0.0001262825,38.986569,0.987664,777.850830,49.591015
scene_4,33,dataset_3dnr,0.0000695582,41.576514,0.994404,128.256210,45.631390
scene_4,33,ghost3dnr,0.0132895010,18.764913,0.850358,88.820206,423.205688
scene_4,34,noisy,0.0001262608,38.987314,0.987823,778.200439,48.199932
scene_4,34,2dnr,0.0001262189,38.988757,0.987830,776.465332,48.196438
scene_4,34,dataset_3dnr,0.0000667796,41.753562,0.994339,128.054962,44.021938
scene_4,34,ghost3dnr,0.0179959945,17.448241,0.840178,95.274574,454.866394
scene_4,35,noisy,0.0001262053,38.989224,0.987661,781.011292,47.814548
scene_4,35,2dnr,0.0001261640,38.990647,0.987669,779.275574,47.810333
scene_4,35,dataset_3dnr,0.0000614530,42.114571,0.994522,128.222900,42.480522
scene_4,35,ghost3dnr,0.0223934557,16.498789,0.838139,90.122322,464.878937
scene_4,36,noisy,0.0001272039,38.954996,0.987608,782.278137,49.206417
scene_4,36,2dnr,0.0001271627,38.956402,0.987615,780.499939,49.202728
scene_4,36,dataset_3dnr,0.0000602575,42.199889,0.994538,128.160721,43.224495
scene_4,36,ghost3dnr,0.0243015140,16.143667,0.836435,90.451416,434.050079
scene_4,37,noisy,0.0001234911,39.083642,0.987790,767.657532,49.155895
scene_4,37,2dnr,0.0001234486,39.085138,0.987797,765.893066,49.153503
scene_4,37,dataset_3dnr,0.0000582156,42.349610,0.994452,125.477272,43.709740
scene_4,37,ghost3dnr,0.0257669073,15.889377,0.831989,88.318764,504.593414
scene_4,38,noisy,0.0001171342,39.313165,0.988351,728.456238,48.100082
scene_4,38,2dnr,0.0001170903,39.314790,0.988359,726.609802,48.097721
scene_4,38,dataset_3dnr,0.0000549042,42.603946,0.994444,126.951233,43.208893
scene_4,38,ghost3dnr,0.0277816914,15.562413,0.825898,85.445038,605.675110
scene_4,39,noisy,0.0001194330,39.228756,0.987201,776.329346,47.603889
scene_4,39,2dnr,0.0001193914,39.230270,0.987207,774.595703,47.600933
scene_4,39,dataset_3dnr,0.0000516706,42.867561,0.994416,126.046959,41.682869
scene_4,39,ghost3dnr,0.0294136945,15.314504,0.825660,83.142540,639.334351
scene_4,40,noisy,0.0001171968,39.310841,0.987239,769.529297,47.975285
scene_4,40,2dnr,0.0001171548,39.312400,0.987245,767.742981,47.972424
scene_4,40,dataset_3dnr,0.0000474050,43.241758,0.994425,124.853012,41.369862
scene_4,40,ghost3dnr,0.0292618573,15.336981,0.828476,81.609543,724.409668
scene_4,41,noisy,0.0001150038,39.392878,0.987288,775.800720,48.686184
scene_4,41,2dnr,0.0001149600,39.394532,0.987296,774.013000,48.682877
scene_4,41,dataset_3dnr,0.0000443385,43.532192,0.994423,125.170464,41.820702
scene_4,41,ghost3dnr,0.0263157655,15.797840,0.833457,83.451591,717.722778
scene_4,42,noisy,0.0001142548,39.421254,0.987103,779.816650,52.465729
scene_4,42,2dnr,0.0001142119,39.422886,0.987110,778.032837,52.463730
scene_4,42,dataset_3dnr,0.0000419036,43.777490,0.994465,126.446266,44.880329
scene_4,42,ghost3dnr,0.0228445679,16.412171,0.843254,81.971092,687.641235
scene_4,43,noisy,0.0001136237,39.445313,0.986764,768.874268,58.666557
scene_4,43,2dnr,0.0001135803,39.446968,0.986770,767.099304,58.666756
scene_4,43,dataset_3dnr,0.0000415999,43.809074,0.994474,124.138374,51.779686
scene_4,43,ghost3dnr,0.0152446469,18.168826,0.863938,81.170593,236.422623
scene_4,44,noisy,0.0001140054,39.430747,0.986968,774.844116,60.290646
scene_4,44,2dnr,0.0001139616,39.432416,0.986978,773.035461,60.290337
scene_4,44,dataset_3dnr,0.0000412412,43.846692,0.994509,125.915115,52.552948
scene_4,44,ghost3dnr,0.0099639082,20.015703,0.881448,80.801498,162.938965
scene_4,45,noisy,0.0001141317,39.425939,0.987004,777.051636,59.084053
scene_4,45,2dnr,0.0001140874,39.427623,0.987010,775.326233,59.083149
scene_4,45,dataset_3dnr,0.0000417133,43.797259,0.994558,125.323883,52.193214
scene_4,45,ghost3dnr,0.0052725282,22.779811,0.906603,80.724564,156.876129
scene_4,46,noisy,0.0001143699,39.416883,0.986942,764.943481,58.223080
scene_4,46,2dnr,0.0001143265,39.418533,0.986950,763.130127,58.222679
scene_4,46,dataset_3dnr,0.0000425896,43.706965,0.994662,125.291458,52.586727
scene_4,46,ghost3dnr,0.0026938950,25.696193,0.927829,80.331017,150.811111
scene_4,47,noisy,0.0001147933,39.400835,0.986897,778.366394,57.854771
scene_4,47,2dnr,0.0001147496,39.402489,0.986905,776.558655,57.853554
scene_4,47,dataset_3dnr,0.0000420597,43.761337,0.994635,127.920631,50.954807
scene_4,47,ghost3dnr,0.0017643516,27.534149,0.950748,80.210403,179.948181
scene_4,48,noisy,0.0001136641,39.443766,0.987051,770.033630,57.725670
scene_4,48,2dnr,0.0001136207,39.445427,0.987058,768.214355,57.725483
scene_4,48,dataset_3dnr,0.0000424988,43.716229,0.994612,124.675705,51.861511
scene_4,48,ghost3dnr,0.0014590470,28.359307,0.964653,83.086090,189.470901
scene_4,49,noisy,0.0001076637,39.679306,0.988023,720.688721,56.856434
scene_4,49,2dnr,0.0001076188,39.681119,0.988033,718.856506,56.856228
scene_4,49,dataset_3dnr,0.0000420761,43.759649,0.994636,125.682442,51.917202
scene_4,49,ghost3dnr,0.0014027504,28.530196,0.969851,81.758224,145.070312
scene_4,50,noisy,0.0001142021,39.423259,0.987016,775.373169,58.469994
scene_4,50,2dnr,0.0001141582,39.424931,0.987023,773.597961,58.468464
scene_4,50,dataset_3dnr,0.0000432801,43.637119,0.994565,128.192703,51.926334
scene_4,50,ghost3dnr,0.0013714873,28.628082,0.973234,81.891602,133.733353
scene_4,51,noisy,0.0001138365,39.437183,0.987272,769.428345,57.684895
scene_4,51,2dnr,0.0001137937,39.438819,0.987278,767.632751,57.683552
scene_4,51,dataset_3dnr,0.0000437998,43.585282,0.994514,123.850891,52.371101
scene_4,51,ghost3dnr,0.0011689047,29.322209,0.971515,81.931534,136.582413
scene_4,52,noisy,0.0001143203,39.418765,0.987000,773.288818,56.942360
scene_4,52,2dnr,0.0001142777,39.420387,0.987006,771.560120,56.941586
scene_4,52,dataset_3dnr,0.0000448350,43.483828,0.994532,126.060455,53.071423
scene_4,52,ghost3dnr,0.0010998911,29.586503,0.971319,84.629555,139.691788
scene_4,53,noisy,0.0001148757,39.397719,0.987150,771.638550,56.656361
scene_4,53,2dnr,0.0001148308,39.399414,0.987157,769.876831,56.654190
scene_4,53,dataset_3dnr,0.0000451677,43.451716,0.994555,125.182442,52.132507
scene_4,53,ghost3dnr,0.0009129320,30.395616,0.970044,86.516296,150.559647
scene_4,54,noisy,0.0001141997,39.423350,0.987262,771.568420,56.092033
scene_4,54,2dnr,0.0001141568,39.424983,0.987270,769.812439,56.091454
